prodi,kode_mk,nama_mata_kuliah,semester_mk,sks,metode
D3 Perbankan Dan Keuangan,DPK51110,Manajemen Sumber Dana Bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51111,Manajemen Kredit,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK51112,Pemasaran Produk dan Jasa Perbankan,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK 52116,Pasar Modal,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK 52117,Tata Kelola Bank (GCG Bank),Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK 52118,Jaringan pelayanan bank,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK 52119,Komunikasi Bisnis Perbankan,Ganjil 2024/2025,2,Biasa
D3 Perbankan Dan Keuangan,DPK 52120,Manajemen Risiko Perbankan,Ganjil 2024/2025,3,Biasa
D3 Perbankan Dan Keuangan,DPK 52121,Manajemen Aset Perbankan,Ganjil 2024/2025,3,Biasa
Ekonomi Islam,EKI61101,Pengantar Ekonomi,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61102,Ayat dan Hadist Ekonomi,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,AKT61101,Pengantar Akuntansi,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,MNJ61101,Pengantar Bisnis,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61103,Bahasa Arab,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61104,Islamic Worldview,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKO61103,Matematika Ekonomi,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,AND61102,Kewirausahaan,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61106,Mikro Ekonomi Islam,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61107,Makro Ekonomi Islam,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61108,Ekonometrika Dasar,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61109,Fiqih Muamalah dan Ekonomi,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61110,Prinsip Dasar Hukum Islam,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61111,Sejarah Pemikiran Ekonomi Islam dan Perbandingan Sistem Ekonomi,Ganjil 2024/2025,3,PJBL
Ekonomi Islam,EKI61112,Pengantar Keuangan Islam,Ganjil 2024/2025,3,PJBL
Farmasi,FAF413,"FARMAKOTERAPI PENYAKIT GANGGUAN SARAF, KULIT, MATA DAN THT",Ganjil 2024/2025,2,Biasa
Farmasi,FAF314,"FARMAKOTERAPI PENYAKIT SALURAN CERNA, SALURAN NAFAS, SENDI, SALURAN NAFAS, SENDI DAN TULANG DAN KONDISI KHUSUS",Ganjil 2024/2025,2,Biasa
Farmasi,FAFP311,PRAKTIKUM TEKNOLOGI SEDIAAN STERIL,Ganjil 2024/2025,1,Biasa
Farmasi,PAF4002,SINTESIS OBAT,Ganjil 2024/2025,2,Biasa
Farmasi,FAFP,"PRAKTIKUM FARMAKOTERAPI PENYAKIT GANGGUAN SARAF, KULIT, MATA DAN THT",Ganjil 2024/2025,1,Biasa
Farmasi,FAFP,"PRAKTIKUM FARMAKOTERAPI PENYAKIT SALURAN CERNA, SALURAN NAFAS, SENDI, SALURAN NAFAS, SENDI DAN TULANG DAN KONDISI KHUSUS",Ganjil 2024/2025,1,Biasa
Hubungan Internasional,SHI62101,Pengantar Ilmu Hubungan Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI62102,Pemikiran Ekonomi Politik,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61101,Dasar-dasar Ilmu Sosial,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61102,Dasar-dasar Ilmu Politik,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61103,Dasar-dasar Logika,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61104,Bahasa Inggris ,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61108,Dasar-dasar Penelitian Sosial,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,ISF61108,Fundamentals of Social Research (IUP),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61109,Organisasi Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61109,International Organization (IUP),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61106,Teori Hubungan Internasional 1,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61106,Theory of International Relations 1 (IUP),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61212,Bahasa Arab,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61212,Bahasa Bahasa jepang,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61107,Ekonomi Politik  Global,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61107,Global Political Economy (IUP),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61108,Politik Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61108, International Politics,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61132,Teori Politik Luar Negeri,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61132,Theory of Foreign Policy (IUP),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61214,Kajian Lintas Budaya,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61210,Bahasa Perancis,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61127,Manajemen dan Resolusi Konflik,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61128,Kajian Strategi dan Keamanan,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61129,Metodologi Penelitian Hub. Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61131,Rezim Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61130,Penyusunan Kerangka Kerjasama Internasional (B),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61232,HI Kawasan Timur Tengah,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61233,HI Kawasan Amerika Latin,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61234,HI Kawasan Asia Selatan,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61235,HI Kawasan Asia Timur ,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61236,Desain Multimedia,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61237,Filsafat Adat Alam Minangkabau,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61238,Komunikasi Politik Global,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61239,Masyarakat Sipil Global,Ganjil 2024/2025,3,Biasa
Hukum,HKF 101,Pengantar Ilmu Hukum,Ganjil 2024/2025,3,Biasa
Hukum,HKF 102,Pengantar Hukum Indonesia,Ganjil 2024/2025,3,Biasa
Hukum,HKF 103,Ilmu Negara,Ganjil 2024/2025,3,Biasa
Hukum,AND 113,Pendidikan Kewarganegaraan,Ganjil 2024/2025,2,Biasa
Hukum,AND 112,Pendidikan Agama,Ganjil 2024/2025,3,Biasa
Hukum,AND 114,Bahasa Indonesia,Ganjil 2024/2025,2,Biasa
Hukum,HKF 107,Bahasa Inggris,Ganjil 2024/2025,2,Biasa
Hukum,HKP 102,Hukum Islam,Ganjil 2024/2025,2,Biasa
Hukum,AND 111,Pancasila,Ganjil 2024/2025,2,Biasa
Hukum,HKA 201,Hukum Administrasi Negara,Ganjil 2024/2025,3,Biasa
Hukum,HKN 201,Hukum Pidana,Ganjil 2024/2025,3,Biasa
Hukum,HKN 202,Kriminologi,Ganjil 2024/2025,2,Biasa
Hukum,HKP 201,Hukum Perdata,Ganjil 2024/2025,3,Biasa
Hukum,HKI 201,Hukum Internasional,Ganjil 2024/2025,3,Biasa
Hukum,HKP 206,Hukum Dagang,Ganjil 2024/2025,2,Biasa
Hukum,HKT 201,Hukum Tata Negara,Ganjil 2024/2025,3,Biasa
Hukum,HKT 202,Hukum dan Hak Asasi Manusia,Ganjil 2024/2025,2,Biasa
Hukum,HKA 302,Hukum Agraria,Ganjil 2024/2025,2,Biasa
Hukum,HKA 303,Hukum Ketenagakerjaan,Ganjil 2024/2025,2,Biasa
Hukum,HKI 302,Hukum Laut,Ganjil 2024/2025,2,Biasa
Hukum,HKN 303,Hukum Acara Pidana,Ganjil 2024/2025,3,Biasa
Hukum,HKN 304,Hukum Penitensir,Ganjil 2024/2025,2,Biasa
Hukum,HKP 304,Hukum Acara Perdata,Ganjil 2024/2025,3,Biasa
Hukum,HKP 305,Hukum Perjanjian,Ganjil 2024/2025,2,Biasa
Hukum,HKP 310,Hukum Perusahaan,Ganjil 2024/2025,2,Biasa
Hukum,HKT 303,Ilmu Perundang Undangan,Ganjil 2024/2025,2,Biasa
Hukum,HKI 304,Hukum Perdata Internasional,Ganjil 2024/2025,2,Biasa
Hukum,HKP 301,Hukum Adat,Ganjil 2024/2025,2,Biasa
Hukum,HKA 404,Hukum Lingkungan,Ganjil 2024/2025,2,Biasa
Hukum,HKA 405,Hukum Pemerintahan Daerah,Ganjil 2024/2025,2,Biasa
Hukum,HKA 406,Hukum Acara PTUN,Ganjil 2024/2025,2,Biasa
Hukum,HKI 402,Hukum Pidana Khusus,Ganjil 2024/2025,2,Biasa
Hukum,HKI 403,Hukum Hak Kekayaan Intelektual,Ganjil 2024/2025,2,Biasa
Hukum,HKN 405,Delik-delik Dalam KUHP,Ganjil 2024/2025,2,Biasa
Hukum,HKP 407,Hukum Acara Peradilan Agama,Ganjil 2024/2025,2,Biasa
Hukum,HKP 408,Hukum Perancangan Kontrak,Ganjil 2024/2025,2,Biasa
Hukum,MKP 409,Hukum Perbankan,Ganjil 2024/2025,2,Biasa
Hukum,HKI 405,Hukum Ekonomi Internasional,Ganjil 2024/2025,2,Biasa
Hukum,HKT 404,Hukum Acara Mahkamah Konstitusi,Ganjil 2024/2025,2,Biasa
Hukum,HKA 507,Praktik Peradilan TUN,Ganjil 2024/2025,3,Biasa
Hukum,HKA 508,Hukum Pajak,Ganjil 2024/2025,2,Biasa
Hukum,HKF 508,Metode Penelitian dan Penulisan Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKN 507,Praktik Peradilan Pidana,Ganjil 2024/2025,2,Biasa
Hukum,HKT 507,Perancangan Perundangan- Undangan,Ganjil 2024/2025,2,Biasa
Hukum,HKP 512,Praktik Peradilan Perdata,Ganjil 2024/2025,2,Biasa
Hukum,HKT 505,Politik Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKT 506,Pratik Peradilan Mahkamah Konstitusi,Ganjil 2024/2025,2,Biasa
Hukum,HKF 511,Filsafat Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKP 511,Hukum Adat Minangkabau,Ganjil 2024/2025,2,Biasa
Hukum,HKF,Etika Profesi Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKF 710,KKN,Ganjil 2024/2025,2,Biasa
Hukum,HKF 813,Tugas Akhir,Ganjil 2024/2025,4,Biasa
Ilmu Biomedis,MWU60104,Bahasa Indonesia,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1023,Bioetik Akademik dan Penelitian Biomedis,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1062,Biologi Sel,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM1022,Dasar Management,Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,BIM1042,Fisika Medis,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM1052,Kimia Medis,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM1013,Lab Biosafety dan keselamatan Kerja Laboratorium,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1032,Matematika,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1011,Pendidikan Agama,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1012,Pengenalan Ilmu Biomedis,Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,BIM3132,Biokimia 2,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM4182,Biologi Molekuler dan seluler II,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM3033,Bisnis dan Industri Biomedis,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3162,Dasar Patologi Anatomi,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3142,Fisiologi Manusia,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3014,Interaksi Kimia dan Molekuler Obat,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM2072,Natural Produk dan Kimia Obat,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3024,Toksikologi,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM5064,Analisis Imuno dan Molekuler Parasit,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM4192,Biostatistik,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM5094,Bioteknologi Medis,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM5061,Dasar Komunikasi,Ganjil 2024/2025,1,Biasa
