prodi,kode_mk,nama mata kuliah,semester mk,sks,metode
Hubungan Internasional,SHI61127,Manajemen Dan Resolusi Konflik,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61128,Kajian Strategi Dan Keamanan,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61129,Metodologi Penelitian Hub. Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61131,Rezim Internasional,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61130,Penyusunan Kerangka Kerjasama Internasional (B),Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61232,Hi Kawasan Timur Tengah,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61233,Hi Kawasan Amerika Latin,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61234,Hi Kawasan Asia Selatan,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61235,Hi Kawasan Asia Timur,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61236,Desain Multimedia,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61237,Filsafat Adat Alam Minangkabau,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61238,Komunikasi Politik Global,Ganjil 2024/2025,3,Biasa
Hubungan Internasional,SHI61239,Masyarakat Sipil Global,Ganjil 2024/2025,3,Biasa
Hukum,HKF101,Pengantar Ilmu Hukum,Ganjil 2024/2025,3,Biasa
Hukum,HKF102,Pengantar Hukum Indonesia,Ganjil 2024/2025,3,Biasa
Hukum,HKF103,Ilmu Negara,Ganjil 2024/2025,3,Biasa
Hukum,AND113,Pendidikan Kewarganegaraan,Ganjil 2024/2025,2,Biasa
Hukum,AND112,Pendidikan Agama,Ganjil 2024/2025,3,Biasa
Hukum,AND114,Bahasa Indonesia,Ganjil 2024/2025,2,Biasa
Hukum,HKF107,Bahasa Inggris,Ganjil 2024/2025,2,Biasa
Hukum,HKP102,Hukum Islam,Ganjil 2024/2025,2,Biasa
Hukum,AND111,Pancasila,Ganjil 2024/2025,2,Biasa
Hukum,HKA201,Hukum Administrasi Negara,Ganjil 2024/2025,3,Biasa
Hukum,HKN201,Hukum Pidana,Ganjil 2024/2025,3,Biasa
Hukum,HKN202,Kriminologi,Ganjil 2024/2025,2,Biasa
Hukum,HKP201,Hukum Perdata,Ganjil 2024/2025,3,Biasa
Hukum,HKI201,Hukum Internasional,Ganjil 2024/2025,3,Biasa
Hukum,HKP206,Hukum Dagang,Ganjil 2024/2025,2,Biasa
Hukum,HKT201,Hukum Tata Negara,Ganjil 2024/2025,3,Biasa
Hukum,HKT202,Hukum Dan Hak Asasi Manusia,Ganjil 2024/2025,2,Biasa
Hukum,HKA302,Hukum Agraria,Ganjil 2024/2025,2,Biasa
Hukum,HKA303,Hukum Ketenagakerjaan,Ganjil 2024/2025,2,Biasa
Hukum,HKI302,Hukum Laut,Ganjil 2024/2025,2,Biasa
Hukum,HKN303,Hukum Acara Pidana,Ganjil 2024/2025,3,Biasa
Hukum,HKN304,Hukum Penitensir,Ganjil 2024/2025,2,Biasa
Hukum,HKP304,Hukum Acara Perdata,Ganjil 2024/2025,3,Biasa
Hukum,HKP305,Hukum Perjanjian,Ganjil 2024/2025,2,Biasa
Hukum,HKP310,Hukum Perusahaan,Ganjil 2024/2025,2,Biasa
Hukum,HKT303,Ilmu Perundang Undangan,Ganjil 2024/2025,2,Biasa
Hukum,HKI304,Hukum Perdata Internasional,Ganjil 2024/2025,2,Biasa
Hukum,HKP301,Hukum Adat,Ganjil 2024/2025,2,Biasa
Hukum,HKA404,Hukum Lingkungan,Ganjil 2024/2025,2,Biasa
Hukum,HKA405,Hukum Pemerintahan Daerah,Ganjil 2024/2025,2,Biasa
Hukum,HKA406,Hukum Acara Ptun,Ganjil 2024/2025,2,Biasa
Hukum,HKI402,Hukum Pidana Khusus,Ganjil 2024/2025,2,Biasa
Hukum,HKI403,Hukum Hak Kekayaan Intelektual,Ganjil 2024/2025,2,Biasa
Hukum,HKN405,Delik-Delik Dalam Kuhp,Ganjil 2024/2025,2,Biasa
Hukum,HKP407,Hukum Acara Peradilan Agama,Ganjil 2024/2025,2,Biasa
Hukum,HKP408,Hukum Perancangan Kontrak,Ganjil 2024/2025,2,Biasa
Hukum,MKP409,Hukum Perbankan,Ganjil 2024/2025,2,Biasa
Hukum,HKI405,Hukum Ekonomi Internasional,Ganjil 2024/2025,2,Biasa
Hukum,HKT404,Hukum Acara Mahkamah Konstitusi,Ganjil 2024/2025,2,Biasa
Hukum,HKA507,Praktik Peradilan Tun,Ganjil 2024/2025,3,Biasa
